"siteId","siteLabel","microsite","depth","rep","percentRPC"
13,"AND 5W","smooth","6-15cm",3,0.304188703334993
13,"AND 5W","rough","0-5cm",1,1.66771005704365
13,"AND 5W","rough","0-5cm",2,1.61925551394823
13,"AND 5W","rough","0-5cm",3,1.50526017893145
13,"AND 5W","rough","6-15cm",1,0.766920704051383
13,"AND 5W","rough","6-15cm",2,0.921542936527538
13,"AND 5W","rough","6-15cm",3,0.923927066063803
14,"Permo 5W","open","0-5cm",1,0.22361890813253
14,"Permo 5W","open","0-5cm",2,0.547617184321508
14,"Permo 5W","open","0-5cm",3,0.352309405204461
14,"Permo 5W","open","6-15cm",1,0.222187305789213
14,"Permo 5W","open","6-15cm",2,0.175512519487051
14,"Permo 5W","open","6-15cm",3,0.390449808362369
14,"Permo 5W","smooth","0-5cm",1,0.863331281085155
14,"Permo 5W","smooth","0-5cm",2,0.944155243202794
14,"Permo 5W","smooth","0-5cm",3,1.18630987948782
14,"Permo 5W","smooth","6-15cm",1,0.221901743807856
14,"Permo 5W","smooth","6-15cm",2,0.375378608585859
14,"Permo 5W","smooth","6-15cm",3,0.252895059850374
14,"Permo 5W","rough","0-5cm",1,0.833233022619935
14,"Permo 5W","rough","0-5cm",2,1.11417587289812
14,"Permo 5W","rough","0-5cm",3,1.06341191558442
14,"Permo 5W","rough","6-15cm",1,0.396896060758222
14,"Permo 5W","rough","6-15cm",2,0.306887744116174
14,"Permo 5W","rough","6-15cm",3,0.635914526976161
15,"BO 5 PB","open","0-5cm",1,0.32282272841999
15,"BO 5 PB","open","0-5cm",2,0.367140335237149
15,"BO 5 PB","open","0-5cm",3,0.420679449333669
15,"BO 5 PB","open","6-15cm",1,0.217061309045226
15,"BO 5 PB","open","6-15cm",2,0.195653930534733
15,"BO 5 PB","open","6-15cm",3,0.37258678030303
15,"BO 5 PB","smooth","0-5cm",1,0.622808645755539
15,"BO 5 PB","smooth","0-5cm",2,0.44979455787382
15,"BO 5 PB","smooth","0-5cm",3,0.639947906574394
15,"BO 5 PB","smooth","6-15cm",1,0.474315044576523
15,"BO 5 PB","smooth","6-15cm",2,0.774617011005503
15,"BO 5 PB","smooth","6-15cm",3,0.349978076347305
15,"BO 5 PB","rough","0-5cm",1,0.534102606623181
15,"BO 5 PB","rough","0-5cm",2,0.54498296875
15,"BO 5 PB","rough","0-5cm",3,0.456945020151133
15,"BO 5 PB","rough","6-15cm",1,0.445095353560682
15,"BO 5 PB","rough","6-15cm",2,0.383223416521088
15,"BO 5 PB","rough","6-15cm",3,0.383080622033475
16,"Ked 30+","open","0-5cm",1,0.865469703043801
16,"Ked 30+","open","0-5cm",2,0.706295066134265
16,"Ked 30+","open","0-5cm",3,0.731458563631853
16,"Ked 30+","open","6-15cm",1,0.239225253054101
16,"Ked 30+","open","6-15cm",2,0.29263191547887
