"siteId","siteLabel","microsite","depth","rep","percentC","percentN"
8,"ING 2WPB","smooth","6-15cm",1,2.63004088316932,0.0379035579106737
8,"ING 2WPB","smooth","6-15cm",2,3.16551094506048,0.0501886844758065
8,"ING 2WPB","smooth","6-15cm",3,2.83379005244755,0.0370743006993007
8,"ING 2WPB","rough","0-5cm",1,4.82884796758105,0.0861705236907731
8,"ING 2WPB","rough","0-5cm",2,4.48042044080605,0.0830607052896725
8,"ING 2WPB","rough","0-5cm",3,4.82967330563948,0.104304506545821
8,"ING 2WPB","rough","6-15cm",1,2.74493244944388,0.0675973205257836
8,"ING 2WPB","rough","6-15cm",2,2.2819127433408,0.0795332337565347
8,"ING 2WPB","rough","6-15cm",3,2.3137314314567,0.0552202726584196
9,"Boo 20 W","open","0-5cm",1,4.6748972052512,0.136423251704115
9,"Boo 20 W","open","0-5cm",2,5.00042011817953,0.15311667085743
9,"Boo 20 W","open","0-5cm",3,5.79667550979407,0.177506906077348
9,"Boo 20 W","open","6-15cm",1,4.53503907973922,0.125347291875627
9,"Boo 20 W","open","6-15cm",2,4.07747678917308,0.115097467097095
9,"Boo 20 W","open","6-15cm",3,4.41546905074476,0.116704746276193
9,"Boo 20 W","smooth","0-5cm",1,4.09278444248234,0.128950554994955
9,"Boo 20 W","smooth","0-5cm",2,3.75961067421384,0.11982641509434
9,"Boo 20 W","smooth","0-5cm",3,3.38871000988631,0.110782254078102
9,"Boo 20 W","smooth","6-15cm",1,4.00831856710394,0.0845787083753784
9,"Boo 20 W","smooth","6-15cm",2,4.08743832043923,0.0828013476416272
9,"Boo 20 W","smooth","6-15cm",3,3.42700018040591,0.0657203708343774
9,"Boo 20 W","rough","0-5cm",1,6.61730311239919,0.171804435483871
9,"Boo 20 W","rough","0-5cm",2,5.53565412934072,0.138556240563664
9,"Boo 20 W","rough","0-5cm",3,4.86877354846811,0.117015946760422
9,"Boo 20 W","rough","6-15cm",1,3.70297637104743,0.077050395256917
9,"Boo 20 W","rough","6-15cm",2,3.90559153923541,0.0798635563380282
9,"Boo 20 W","rough","6-15cm",3,3.85260506354348,0.0814515325193122
10,"Red 5W","open","0-5cm",1,2.53938924880262,0.0671773380388203
10,"Red 5W","open","0-5cm",2,3.12099021238938,0.0853931731984829
10,"Red 5W","open","0-5cm",3,2.60611606818182,0.0617310606060606
10,"Red 5W","open","6-15cm",1,1.90475652491193,0.0539305485656769
10,"Red 5W","open","6-15cm",2,2.10237306940616,0.0570395890754197
10,"Red 5W","open","6-15cm",3,1.69694052950076,0.0420215582450832
10,"Red 5W","smooth","0-5cm",1,4.24968742907356,0.0793886517700226
10,"Red 5W","smooth","0-5cm",2,5.28278868565717,0.0968634432783608
10,"Red 5W","smooth","0-5cm",3,4.38975420451725,0.0735213452469596
10,"Red 5W","smooth","6-15cm",1,2.64239074604743,0.0298770998023715
10,"Red 5W","smooth","6-15cm",2,2.77769760609086,0.029166874687968
10,"Red 5W","smooth","6-15cm",3,2.65816439554881,0.0342943854324734
10,"Red 5W","rough","0-5cm",1,4.53812769540086,0.0619514953505906
10,"Red 5W","rough","0-5cm",2,4.44800964068826,0.0628156629554656
10,"Red 5W","rough","0-5cm",3,4.22868237373737,0.0547683080808081
10,"Red 5W","rough","6-15cm",1,4.1739541754386,0.0491672932330827
10,"Red 5W","rough","6-15cm",2,4.15670756134581,0.048408803440425
10,"Red 5W","rough","6-15cm",3,3.91674290753338,0.0460185185185185
11,"Vic 5WHS","open","0-5cm",1,3.20379004982561,0.0573000747384155
11,"Vic 5WHS","open","0-5cm",2,2.85682007033409,0.0533465209746295
11,"Vic 5WHS","open","0-5cm",3,2.83247532853955,0.0546665013637491
11,"Vic 5WHS","open","6-15cm",1,1.68605742154155,0.0378791112226965
11,"Vic 5WHS","open","6-15cm",2,1.7884024025974,0.0413411588411588
11,"Vic 5WHS","open","6-15cm",3,1.74874840920587,0.0397123166413758
11,"Vic 5WHS","smooth","0-5cm",1,4.78982119521912,0.0918295567729084
11,"Vic 5WHS","smooth","0-5cm",2,4.30853687296417,0.0862922826359308
11,"Vic 5WHS","smooth","0-5cm",3,4.49567884382872,0.0880138539042821
11,"Vic 5WHS","smooth","6-15cm",1,2.14281786963037,0.0376036463536464
11,"Vic 5WHS","smooth","6-15cm",2,1.9954037027833,0.0346657554671968
11,"Vic 5WHS","smooth","6-15cm",3,2.25443830397584,0.0633964519375943
11,"Vic 5WHS","rough","0-5cm",1,8.24507599152965,0.112227204783259
11,"Vic 5WHS","rough","0-5cm",2,9.82673408759124,0.135159828844702
11,"Vic 5WHS","rough","0-5cm",3,10.5472143704812,0.148215532286213
11,"Vic 5WHS","rough","6-15cm",1,6.01792928678679,0.0794381881881882
11,"Vic 5WHS","rough","6-15cm",2,6.17967875534322,0.0811579079708323
11,"Vic 5WHS","rough","6-15cm",3,6.19967230044621,0.0836192364898364
12,"Vic 5 WLS","open","0-5cm",1,3.11425485190763,0.0543611947791165
12,"Vic 5 WLS","open","0-5cm",2,3.47386458230351,0.0587215768660405
12,"Vic 5 WLS","open","0-5cm",3,2.88574985622211,0.0500539167079822
12,"Vic 5 WLS","open","6-15cm",1,1.83498250815968,0.036412252071303
12,"Vic 5 WLS","open","6-15cm",2,2.27359401060071,0.0454271832407875
12,"Vic 5 WLS","open","6-15cm",3,1.85679677565392,0.037455985915493
12,"Vic 5 WLS","smooth","0-5cm",1,3.43149170431727,0.0622853915662651
12,"Vic 5 WLS","smooth","0-5cm",2,3.05189099019854,0.0503593867805981
12,"Vic 5 WLS","smooth","0-5cm",3,3.12348968507873,0.0522088227943014
12,"Vic 5 WLS","smooth","6-15cm",1,1.74595274144869,0.0309852867203219
12,"Vic 5 WLS","smooth","6-15cm",2,1.76833072301172,0.031251558214909
12,"Vic 5 WLS","smooth","6-15cm",3,1.91587401002506,0.0334968671679198
12,"Vic 5 WLS","rough","0-5cm",1,6.08385137406484,0.0890018703241895
12,"Vic 5 WLS","rough","0-5cm",2,6.72146451798202,0.103752497502498
12,"Vic 5 WLS","rough","0-5cm",3,6.46186249937139,0.100333165702791
12,"Vic 5 WLS","rough","6-15cm",1,4.221717918858,0.0639162283996995
12,"Vic 5 WLS","rough","6-15cm",2,4.02874674061003,0.0611312074615578
12,"Vic 5 WLS","rough","6-15cm",3,3.62692852554375,0.058636191198786
13,"AND 5W","open","0-5cm",1,2.68452619753086,0.0658241728395062
13,"AND 5W","open","0-5cm",2,2.83136304347826,0.0695156814851001
13,"AND 5W","open","0-5cm",3,2.89993756006407,0.0719163374265884
13,"AND 5W","open","6-15cm",1,1.89020487490328,0.0454818674232654
13,"AND 5W","open","6-15cm",2,1.94781297409806,0.045354347826087
13,"AND 5W","open","6-15cm",3,2.00703464513194,0.0454166515013649
13,"AND 5W","smooth","0-5cm",1,6.31038583711488,0.132440530212563
13,"AND 5W","smooth","0-5cm",2,5.30850960863021,0.11527476166583
13,"AND 5W","smooth","0-5cm",3,5.63917966908432,0.121274206708976
13,"AND 5W","smooth","6-15cm",1,2.62637165441995,0.0509230683589401
13,"AND 5W","smooth","6-15cm",2,2.0179877477042,0.0456319961333978
13,"AND 5W","smooth","6-15cm",3,2.08673283444624,0.0435739350679254
13,"AND 5W","rough","0-5cm",1,6.70137108297536,0.111299276509157
13,"AND 5W","rough","0-5cm",2,6.76485298093169,0.105051870625151
13,"AND 5W","rough","0-5cm",3,5.67747082145634,0.0882619849701995
13,"AND 5W","rough","6-15cm",1,3.91035402325581,0.0595278372093023
13,"AND 5W","rough","6-15cm",2,4.28882726786192,0.0669917848541611
13,"AND 5W","rough","6-15cm",3,3.58693466145833,0.0568451822916667
14,"Permo 5W","open","0-5cm",1,2.55372428338383,0.0555284782102074
14,"Permo 5W","open","0-5cm",2,2.45991661007357,0.0577022354272779
14,"Permo 5W","open","0-5cm",3,2.16724688057041,0.0514504456327986
14,"Permo 5W","open","6-15cm",1,1.55672209707696,0.0381583534459641
14,"Permo 5W","open","6-15cm",2,1.53567137265865,0.0370441990494828
14,"Permo 5W","open","6-15cm",3,1.54484692698706,0.036340780961183
14,"Permo 5W","smooth","0-5cm",1,3.63158582543156,0.0590705567712132
14,"Permo 5W","smooth","0-5cm",2,4.44508262964663,0.0703686094538779
14,"Permo 5W","smooth","0-5cm",3,4.4129999711233,0.0723825007219174
14,"Permo 5W","smooth","6-15cm",1,1.38428466958212,0.031586175898931
14,"Permo 5W","smooth","6-15cm",2,1.66818106412639,0.0338586895910781
14,"Permo 5W","smooth","6-15cm",3,1.50825103715523,0.0311536585365854
14,"Permo 5W","rough","0-5cm",1,4.99349690416572,0.0923436148417938
14,"Permo 5W","rough","0-5cm",2,4.95239080182355,0.0895244033252883
14,"Permo 5W","rough","0-5cm",3,4.70795011510129,0.0848300644567219
14,"Permo 5W","rough","6-15cm",1,2.43430593955322,0.0440443626806833
14,"Permo 5W","rough","6-15cm",2,2.59205960350155,0.0468740216271885
14,"Permo 5W","rough","6-15cm",3,2.42446653187441,0.0457327545195052
15,"BO 5 PB","open","0-5cm",1,2.64320931554238,0.0799947615517667
15,"BO 5 PB","open","0-5cm",2,2.76374404055391,0.0830144164193867
15,"BO 5 PB","open","0-5cm",3,2.86726494510978,0.0857859530938124
15,"BO 5 PB","open","6-15cm",1,2.02357198079838,0.059306038403234
15,"BO 5 PB","open","6-15cm",2,2.06166955321285,0.0565150853413655
15,"BO 5 PB","open","6-15cm",3,2.05792432230788,0.0568493906988312
15,"BO 5 PB","smooth","0-5cm",1,4.36447694631652,0.123644643272136
15,"BO 5 PB","smooth","0-5cm",2,3.96821943194601,0.112205596175478
15,"BO 5 PB","smooth","0-5cm",3,4.70775252795333,0.133550704910063
15,"BO 5 PB","smooth","6-15cm",1,2.62099907495256,0.0676769212523719
